date,Open,High,Low,Close,Volume,SMA_5,SMA_20,EMA_10,MOM_3,MOM_10,RSI_14,MACD,MACD_Signal,BB_Lower,BB_Upper,OBV
2025-01-02,6794.4158,6953.5428,6652.7411,6721.2367,3224710800.0,,,,,,,,,,,
2025-01-03,6736.689,6765.6967,6395.2543,6409.0143,3176365400.0,,,,,,0.0,,,,,-3176365400.0
2025-01-06,6376.7023,6423.4407,6230.1218,6331.3945,2460398600.0,,,,,,0.0,,,,,-5636764000.0
2025-01-07,6342.9701,6555.3197,6340.9602,6555.3197,2772053400.0,,,,-165.91700000000037,,5.508654131049003,,,,,-2864710600.0
2025-01-08,6530.3236,6752.9787,6351.1633,6675.9155,4142385300.0,6538.576140000001,,,266.90120000000024,,8.434107198284137,,,,,1277674700.0
2025-01-09,6628.8829,6828.5476,6624.4297,6766.1068,4242355200.0,6547.550160000001,,,434.71229999999923,,10.661800721267555,,,,,5520029900.0
2025-01-10,6738.632,6950.3839,6684.644,6684.644,4363301000.0,6602.676100000001,,,129.32430000000022,,10.415325134261277,,,,,1156728900.0
2025-01-13,6562.933,6823.7095,6531.8778,6676.5695,3647028900.0,6671.7111,,,0.6539999999995416,,10.389686977372168,,,,,-2490300000.0
2025-01-14,6698.1651,7158.6038,6697.7955,7158.6038,4420140900.0,6792.367920000001,,,392.4970000000003,,22.633432265326924,,,,,1929840900.0
2025-01-15,7180.66,7199.76,7109.5738,7137.0566,4141948700.0,6884.596140000001,,6711.586139999999,452.41259999999966,,22.485536029488753,,,,,-2212107800.0
2025-01-16,7179.3083,7303.6271,7062.8078,7144.6072,4048873400.0,6960.296220000001,,6790.31724181818,468.03770000000077,423.3705,22.676211633450208,,,,,1836765600.0
2025-01-17,7128.0629,7254.6435,7127.7113,7179.4003,4198784500.0,7059.247480000001,,6861.059616033056,20.79650000000038,770.3860000000004,23.608719528044745,,,,,6035550100.0
2025-01-20,7236.905,7260.059,7168.2687,7208.5412,4130629600.0,7165.641820000001,,6924.238085845228,71.48459999999977,877.1466999999993,24.43073334984326,,,,,10166179700.0
2025-01-21,7239.3179,7349.7525,7185.9807,7349.4314,4417598000.0,7203.807340000001,,7001.545961146096,204.82420000000002,794.1117000000004,28.44002822926088,,,,,14583777700.0
2025-01-22,7276.7917,7301.8248,7207.5599,7234.1235,3712247000.0,7223.22072,,7043.83278639226,54.72319999999945,558.2079999999996,27.169547288772634,,,,,10871530700.0
2025-01-23,7313.4759,7458.1655,7250.9083,7250.9083,4410590000.0,7244.48094,,7081.482879775484,42.36710000000039,484.8015000000005,27.676027167838278,,,,,15282120700.0
2025-01-24,7196.8415,7415.7114,7169.3875,7410.1166,4336139000.0,7290.6242,,7141.234465270851,60.685199999999895,725.4726,32.47293401904681,,,,,19618259700.0
2025-01-27,7404.9426,7426.6537,7190.5924,7190.5924,3314213700.0,7287.03444,,7150.208635221605,-43.53109999999924,514.0229000000008,29.56150056673784,,,,,16304046000.0
2025-02-05,7279.7788,7464.9311,7266.9986,7426.4143,3988414200.0,7302.431020000001,,7200.427846999495,175.5060000000003,267.8105000000005,36.18095301255226,,,,,20292460200.0
2025-02-06,7367.1877,7772.3265,7363.2919,7740.1303,5210826600.0,7403.632380000001,7012.506345,7298.555565726859,330.0136999999995,603.0736999999999,43.753541731907795,,,6252.042319329849,7772.97037067015,25503286800.0
2025-02-07,7723.0239,7876.5898,7673.837,7812.872,6191786500.0,7516.025120000001,7067.08811,7392.067644685611,622.2795999999998,668.2647999999999,45.37214229072292,,,6240.7945362875935,7893.381683712406,31695073300.0
2025-02-10,7798.4636,7875.3492,7698.5937,7875.3056,5134121000.0,7609.062920000001,7140.402675,7479.929091106409,448.8912999999993,695.9052999999994,46.787536723491144,,,6299.880413143382,7980.924936856619,36829194300.0
