date,alpha1,alpha2,alpha3,alpha4,alpha5,alpha6,alpha7,alpha8,alpha9,alpha10,alpha11,alpha12,alpha13,alpha14,alpha15,alpha16,alpha17,alpha18,alpha19,alpha20,alpha21,alpha22,alpha23,alpha24,alpha25,alpha26,alpha27,alpha28,alpha29,alpha30,alpha31,alpha32,alpha33,alpha34,alpha35,alpha36,alpha37,alpha38,alpha39,alpha40,alpha41,alpha42,alpha43,alpha44,alpha45,alpha46,alpha47,alpha48,alpha49,alpha50
2025-09-05,,0.11766567391703257,,,0.03833697968862479,,,-0.04975058014695929,,0.021488559854334004,-0.0513757816139004,,-0.07861956046127568,,,0.04128304656513333,,,0.06618120862344096,,,0.017158915514684972,,,,-0.0428774683472836,,,,,,,,,,0.11906982652758766,0.09830282157324934,0.1638878145863624,-0.03860713932841191,-0.07371744745719654,0.06549409290442787,-0.08976357502787702,,0.192353945826923,,0.10262131279041142,0.03379084506048246,0.026259686366395207,0.0831069770067893,0.03924739226784482
2025-09-08,,-0.07240633889710402,,,-0.08973631826730034,,,-0.044271521017211546,,0.14828482711295915,-0.02615604353389811,,0.03571453566904393,,,0.06126679959816159,,-1.2616307276448613e-16,-0.03047637613065392,,,-0.030387071463057972,,,,0.03387153591866526,,-1.2616307276448613e-16,,,,,-1.2616307276448613e-16,,,-0.03263887014228203,-0.09924592537639572,-0.1355064733283276,-0.10988444424892431,0.014200874086234817,-0.016088532420076383,0.10844381611372793,,-0.07102481117584383,,0.016590633427369744,-0.1191165510153774,0.04130352406214475,0.036372860956611346,-0.06774740438647264
2025-09-09,,-0.016345784320839385,,,-0.032215664827550373,,,0.04773201076859651,,-0.030898810979515294,-0.03260489815882331,,0.037363488390634365,,,-0.12471389782468277,,-1.03034437442005e-16,-0.03135820247974636,,,0.06472337030891324,,,,-0.030308242340524122,,-1.03034437442005e-16,,0.1677045624403777,,,-1.03034437442005e-16,,,0.023427457029804786,0.08477000296516075,0.29021420822594696,0.11489079519160224,0.04643947802421756,0.020340240993212386,-0.37125245342413365,,0.3302161073621089,,0.13291866569385166,-0.09529139646527769,-0.01413781457802,-0.30694026768861743,-0.2931480152683381
2025-09-10,,0.07182692721251312,,,0.10217242809792078,,,0.06856418849306502,,-0.27705627159467233,0.051329443305472316,,-0.0938943384324239,,,0.055912603403535446,,-1.902403040871758e-17,-0.02615354073204511,,,0.004351579767400082,,,,-0.07321621195395045,,-1.902403040871758e-17,,0.006248524601742653,,,-1.902403040871758e-17,,,0.1451704491691874,0.10273155986664101,0.16640208742526993,-0.15340797981390933,-0.2397856374818999,0.20611546787859666,-0.23588238531439729,,0.2644110548074002,,0.21394662896916428,0.08259356855098851,-0.028130349385671882,0.01723674212556092,0.07342288999440852
2025-09-11,,-0.05161650960073682,,,-0.023965961643015465,0.03633317838010698,,0.044702502973403516,-0.004590886420696915,-0.09061192912504555,0.06552450536512407,7.759029168859232e-06,0.08199067164305275,,-0.05963493161056405,0.005426731416491482,,,0.015491425751817937,,0.11370160667788395,-0.04417305360641706,,-0.09199509514798733,0.14469948780722827,0.0764610131620858,,,0.03071250599605453,0.010791152369846697,0.060534962836631456,0.01264916012880535,,,,-0.07618374577420833,0.028527763349149072,-0.014187298854344691,-0.02156342288619124,-0.08738751228260722,0.05774614074227864,0.05668859696984246,,0.0026765805802632975,,-0.027937867966982097,0.04991583920385044,0.053593351533795866,-0.0055370973621051076,-0.012140118765118698
2025-09-12,,0.10346263200546942,,,0.07320449288203972,0.15604655286981306,,-0.023242997525903034,0.10467059948820617,0.06535556511439693,0.05355792091697662,0.05240580849680323,-0.030676897123770936,,-0.07953066810248129,0.002561725484999955,,1.4928962729583996e-16,0.0020268098204744367,,0.1309913460853186,0.050040620780437105,,-0.07471577494460785,0.07237224917935645,-0.02958664502335874,,1.4928962729583996e-16,-0.054736870593648096,0.01931080089471126,-0.05123600479330429,0.07143070805744116,1.4928962729583996e-16,,,-0.03235997890032347,0.042395189208878324,-0.04392462015497555,0.019526470402361523,-0.04704798289193911,0.0023064907000867343,-0.13826689651502805,,0.09468122064969536,,0.06738922778226088,0.07097623178242261,-0.010540253481445569,-0.10532037861166207,0.04063592570469844
2025-09-15,,0.012534554082541697,,,-0.05987669021724757,-0.031804201295726774,,0.07743266226622483,0.028030607570559134,0.03628965444916366,-0.013682554664149738,-0.010597662199283719,-0.11827067274920033,-0.04849995230956238,0.034775211046397456,0.028134864453882927,,,-0.09273474888166555,,-0.0053225620469073845,-0.01029494490149405,,0.03592650069647646,-0.004896369908476447,0.11108594200618736,,,0.007650957772023222,-0.009695248748156691,-0.07802472755075052,-0.012458047809137377,,,,0.010608428154440405,-0.1603962142661835,0.21525702200548824,-0.024691241501057448,0.06437977382762661,-0.07526471256532606,0.10349659971951,,0.05517821703580216,,-0.03551955617449374,-0.11259189345078914,-0.05344344816737452,-0.030532221697865864,0.028973135476203
2025-09-16,,-0.0920580055678921,,,0.05525902180171486,-0.1402924524243638,,0.00940211038930288,-0.013377100822956763,-0.09618664508800057,-0.09909276232862856,0.05023510686525283,0.09517799805999488,-0.11910521815216969,0.0602535381845978,-0.01732543844633608,,4.0709117310752206e-17,0.04466711399318699,,0.03659911280414914,0.09193688544286066,,0.1169736094078834,-0.03784740720641428,-0.05416504567311432,,4.0709117310752206e-17,0.07729241602498989,0.12141207873821962,-0.2077522754194425,0.10939864925232386,4.0709117310752206e-17,,,0.11249721189109002,-0.14398097360043885,0.145107193061629,0.1146597469693905,0.06790692125343005,-0.03246474014824961,-0.06720479075681243,,0.13917677371130513,,0.03546043132323246,0.06559162374275752,-0.06254908368476474,-0.1590684863291888,-0.1622015426671441
2025-09-17,,-0.037601027566445976,,,0.00021115925868420553,0.09932537623248575,,-0.10650529713774973,-0.0462922650779423,0.02552459320367627,0.1632658459019489,-0.0825430148471145,0.01570004653099206,-0.040405460901614676,0.018018722325935616,0.04196563703727026,,,0.019631447615702416,,-0.06038798083049536,0.007363931015777131,,-0.028744454366826887,-0.033046792335842685,0.0448168323239956,,,0.04553845220684867,0.11378649945792593,0.32206747721143175,0.02288969463333758,,,,-0.024121246470816683,-0.06703516027495869,-0.24000797674150096,0.08456311596712733,0.013023499900290694,-0.00794665379192596,0.044785523734244215,,-0.10092593899529971,,-0.09722120320826856,-0.02919081555184702,0.013099908687301225,-0.1291844481529295,0.026255094793776725
2025-09-18,,0.06977915078042621,0.08432495456260072,0.03608003598615295,-0.027613667970391366,0.07835550000617453,0.0008435924693940483,-0.056891011715194034,0.04830651299160069,0.06574729571698114,-0.03681712469056414,0.03434550631722556,0.12268638545745336,-0.00953420088883217,0.10169908487316234,0.0015803446480594635,-0.03568378999348442,,0.045966190233063746,,0.013217679701858626,0.04983197826034958,0.01934884540176682,0.021026377085052873,-0.02564100064280425,-0.0025865220232842378,0.05297057714070162,,-0.07199895227454566,0.05784717473574534,0.17351158704407502,0.03251686142530961,,-0.013565206954494,0.1371720791468056,0.03061970504101457,0.11512565146330747,-0.10619905485262321,-0.008857262068721781,-0.05097402717285514,0.07600160144404249,-0.006237823504144491,,-0.1141567182340575,-0.0784078049449607,-0.0954485923874419,0.046013295783444215,0.003845100905216785,-0.26585131573186654,-0.05591946150125358
